时间,NOx浓度,喷氨量,整点标记
2025-07-11 11:51:00,31.286608,5.317018,0
2025-07-11 11:52:00,30.569815,0.154918,0
2025-07-11 11:53:00,32.822502,0.019418,0
2025-07-11 11:54:00,36.828304,0.378618,0
2025-07-11 11:55:00,38.947304,0.375218,0
2025-07-11 11:56:00,40.535217,0.166718,0
2025-07-11 11:57:00,41.28653,0.167718,0
2025-07-11 11:58:00,39.286938,0.308918,0
2025-07-11 11:59:00,38.432938,0.398918,0
2025-07-11 12:00:00,37.188129,0.342037,1
2025-07-11 12:01:00,37.235329,0.456437,0
2025-07-11 12:02:00,37.40551,0.0,0
2025-07-11 12:03:00,40.065315,0.0,0
2025-07-11 12:04:00,42.216923,0.054537,0
2025-07-11 12:05:00,45.201618,0.085837,0
2025-07-11 12:06:00,48.509415,97.459439,0
2025-07-11 12:07:00,48.7939,99.959324,0
2025-07-11 12:08:00,47.347694,158.512601,0
2025-07-11 12:09:00,44.008198,163.594932,0
2025-07-11 12:10:00,40.245304,164.370338,0
2025-07-11 12:11:00,41.183411,167.008261,0
2025-07-11 12:12:00,46.273022,168.904522,0
2025-07-11 12:13:00,48.754425,171.440814,0
2025-07-11 12:14:00,49.263226,167.504687,0
2025-07-11 12:15:00,47.459408,168.642966,0
2025-07-11 12:16:00,46.844902,167.425558,0
2025-07-11 12:17:00,45.027206,171.255367,0
2025-07-11 12:18:00,42.052498,172.101661,0
2025-07-11 12:19:00,36.250896,170.224931,0
2025-07-11 12:20:00,34.405891,171.695525,0
2025-07-11 12:21:00,38.082794,170.956787,0
2025-07-11 12:22:00,42.327,171.337499,0
2025-07-11 12:23:00,43.312099,169.680756,0
2025-07-11 12:24:00,42.504589,172.160039,0
2025-07-11 12:25:00,41.181305,170.27318,0
2025-07-11 12:26:00,39.851299,168.652981,0
2025-07-11 12:27:00,36.312588,169.001009,0
2025-07-11 12:28:00,34.606194,168.016498,0
2025-07-11 12:29:00,36.164192,168.514503,0
2025-07-11 12:30:00,40.983543,166.927962,0
2025-07-11 12:31:00,42.942047,167.679851,0
2025-07-11 12:32:00,43.754963,167.505936,0
2025-07-11 12:33:00,43.563873,166.277138,0
2025-07-11 12:34:00,40.381081,166.846284,0
2025-07-11 12:35:00,36.520699,164.299573,0
2025-07-11 12:36:00,33.603294,111.973234,0
2025-07-11 12:37:00,31.612301,106.104417,0
2025-07-11 12:38:00,33.463005,103.861923,0
2025-07-11 12:39:00,36.826,103.885341,0
2025-07-11 12:40:00,38.822395,104.726565,0
2025-07-11 12:41:00,42.392483,105.121121,0
2025-07-11 12:42:00,43.443283,107.42455,0
2025-07-11 12:43:00,41.449688,106.022723,0
2025-07-11 12:44:00,39.626297,107.461326,0
2025-07-11 12:45:00,19.188753,110.133423,0
2025-07-11 12:46:00,36.319859,108.464736,0
2025-07-11 12:47:00,40.293564,107.541432,0
2025-07-11 12:48:00,44.293171,108.802314,0
2025-07-11 12:49:00,48.710278,111.835939,0
2025-07-11 12:50:00,50.688187,234.565753,0
2025-07-11 12:51:00,49.085785,353.560103,0
2025-07-11 12:52:00,43.060482,355.607635,0
2025-07-11 12:53:00,42.950195,358.176193,0
2025-07-11 12:54:00,47.910599,358.014661,0
2025-07-11 12:55:00,55.452396,359.229318,0
2025-07-11 12:56:00,59.421406,358.534569,0
2025-07-11 12:57:00,56.328613,357.020364,0
2025-07-11 12:58:00,50.4883,354.090694,0
2025-07-11 12:59:00,45.971603,353.231888,0
2025-07-11 13:00:00,41.327263,352.266125,1
2025-07-11 13:01:00,37.459873,352.551932,0
2025-07-11 13:02:00,35.000767,351.371351,0
2025-07-11 13:03:00,34.03957,352.781585,0
2025-07-11 13:04:00,35.121479,350.54759,0
2025-07-11 13:05:00,36.965969,349.379967,0
2025-07-11 13:06:00,40.879971,348.246542,0
2025-07-11 13:07:00,45.029762,352.077627,0
2025-07-11 13:08:00,44.318668,350.502314,0
2025-07-11 13:09:00,42.787769,350.03011,0
2025-07-11 13:10:00,41.220669,352.064944,0
2025-07-11 13:11:00,38.860065,352.207474,0
2025-07-11 13:12:00,38.967747,352.435945,0
2025-07-11 13:13:00,42.296131,354.496286,0
2025-07-11 13:14:00,44.012939,351.602545,0
2025-07-11 13:15:00,47.787804,351.995723,0
2025-07-11 13:16:00,46.37809,353.163785,0
2025-07-11 13:17:00,45.389984,351.753545,0
2025-07-11 13:18:00,43.455906,351.336958,0
2025-07-11 13:19:00,38.053604,350.388914,0
2025-07-11 13:20:00,38.071796,348.861856,0
2025-07-11 13:21:00,41.274796,346.636492,0
2025-07-11 13:22:00,44.453987,346.362051,0
2025-07-11 13:23:00,46.552387,345.374356,0
2025-07-11 13:24:00,47.589989,500.190498,0
2025-07-11 13:25:00,45.84898,500.097355,0
2025-07-11 13:26:00,43.001884,500.816781,0
2025-07-11 13:27:00,39.123497,500.018227,0
2025-07-11 13:28:00,36.563297,500.398507,0
2025-07-11 13:29:00,37.074692,500.330741,0
2025-07-11 13:30:00,37.78727,500.584168,0
2025-07-11 13:31:00,39.952763,499.95962,0
2025-07-11 13:32:00,41.945351,500.190874,0
2025-07-11 13:33:00,42.759037,499.892462,0
2025-07-11 13:34:00,39.677723,500.065121,0
2025-07-11 13:35:00,34.192715,499.973292,0
2025-07-11 13:36:00,34.12912,500.342914,0
2025-07-11 13:37:00,34.850327,500.667324,0
2025-07-11 13:38:00,36.170403,500.562729,0
2025-07-11 13:39:00,37.5872,500.321656,0
2025-07-11 13:40:00,38.584908,499.869893,0
2025-07-11 13:41:00,37.847111,500.400564,0
2025-07-11 13:42:00,35.491619,500.654294,0
2025-07-11 13:43:00,34.665119,500.551254,0
2025-07-11 13:44:00,34.145908,500.574448,0
2025-07-11 13:45:00,16.171278,500.329159,0
2025-07-11 13:46:00,29.404081,500.329359,0
2025-07-11 13:47:00,31.947178,500.283911,0
2025-07-11 13:48:00,33.39608,499.738758,0
2025-07-11 13:49:00,33.844284,499.77502,0
2025-07-11 13:50:00,31.596674,500.43338,0
2025-07-11 13:51:00,29.79838,500.663912,0
2025-07-11 13:52:00,29.72908,500.364339,0
2025-07-11 13:53:00,29.169979,500.630257,0
2025-07-11 13:54:00,27.738274,348.027596,0
2025-07-11 13:55:00,28.868971,347.076591,0
2025-07-11 13:56:00,30.56447,347.064094,0
2025-07-11 13:57:00,31.924065,345.246569,0
2025-07-11 13:58:00,32.989258,343.04802,0
2025-07-11 13:59:00,33.487858,343.51188,0
2025-07-11 14:00:00,33.988091,343.849812,1
